epoch,train_acc,train_loss,test_acc,test_loss,,,,,,,,
6,0.986910995,0.071812656,0.802083333,0.408074905,,,,,,,,
,,,,,,,,,,,,
7,0.981675393,0.060081738,0.833333333,0.422192792,,,,,,,,
,,,,,,,,,,,,
8,0.992146597,0.083102984,0.739583333,0.621127824,,,,,,,,
,,,,,,,,,,,,
9,0.976439788,0.080775889,0.822916667,0.514662703,,,,,,,,
,,,,,,,,,,,,
0,0.683246072,0.672272586,0.6875,0.65802745,,,,,,,,
,,,,,,,,,,,,
1,0.743455497,0.599937573,0.708333333,0.611256142,,,,,,,,
,,,,,,,,,,,,
2,0.795811516,0.497242583,0.802083333,0.410859764,,,,,,,,
,,,,,,,,,,,,
3,0.793193718,0.433330011,0.71875,0.530243456,,,,,,,,
,,,,,,,,,,,,
4,0.785340315,0.447610683,0.729166667,0.515465736,,,,,,,,
,,,,,,LSTM,,,,,,
5,0.798429317,0.419027365,0.791666667,0.452598343,,,,,,,,
,,,,,,,,,,,,
6,0.858638744,0.327004909,0.854166667,0.363285005,,,,,,,,
,,,,,,,,,,,,
7,0.876963349,0.280635788,0.875,0.330202649,,,,,,,,
,,,,,,,,,,,,
8,0.892670156,0.259591869,0.875,0.362622415,,,,,,,,
,,,,,,,,,,,,
9,0.916230364,0.217131842,0.885416667,0.336060534,,,,,,,,
,,,,,,,,,,,,
0,0.740837694,0.552107238,0.770833333,0.499502252,,,,,,,,
,,,,,,,,,,,,
1,0.890052354,0.360428909,0.822916667,0.411959171,,,,,,,,
,,,,,,,,,,,,
2,0.924083767,0.225855377,0.864583333,0.309639643,,,,,,,,
,,,,,,,,,,,,
3,0.958115183,0.129170106,0.864583333,0.257144302,,,,,,,,
,,,,,,,,,,,,
4,0.976439791,0.085519931,0.916666667,0.206734151,,,,,,,,
,,,,,,,,,,,,
5,0.984293194,0.054560029,0.947916667,0.180467223,,LSTM B,,,,,,
,,,,,,,,,,,,
6,0.989528794,0.032221157,0.947916667,0.138146577,,,,,,,,
,,,,,,,,,,,,
7,0.986910995,0.02550524,0.947916667,0.123862329,,,,,,,,
,,,,,,,,,,,,
8,0.989528796,0.018595771,0.927083333,0.141938098,,,,,,,,
,,,,,,,,,,,,
9,0.992146597,0.014643893,0.96875,0.148734058,,,,,,,,
,,,,,,,,,,,,
0,0.536649214,0.676399197,0.65625,0.654465675,,,,,,,,
,,,,,,,,,,,,
1,0.740837695,0.578310829,0.697916667,0.603930573,,,,,,,,
,,,,,,,,,,,,
2,0.767015707,0.478161467,0.75,0.490216712,,,,,,,,
,,,,,,,,,,,,
3,0.798429321,0.464965529,0.708333333,0.539000134,,,,,,,,
,,,,,,,,,,,,
4,0.777486912,0.451014774,0.708333333,0.547674437,,GRU,,,,,,
,,,,,,,,,,,,
5,0.777486912,0.45867715,0.708333333,0.543733716,,,,,,,,
,,,,,,,,,,,,
6,0.774869111,0.453051107,0.708333333,0.534283042,,,,,,,,
,,,,,,,,,,,,
7,0.790575915,0.443223443,0.708333333,0.521129231,,,,,,,,
,,,,,,,,,,,,
8,0.798429318,0.422075276,0.760416667,0.478918066,,,,,,,,
,,,,,,,,,,,,
9,0.832460734,0.355701137,0.864583333,0.320179522,,,,,3,2,1,
,,,,,,,,,0.947916667,0.96875,0.96875,CNN-RNN
0,0.740837698,0.51219208,0.791666667,0.491132696,,,,,,0.927083333,0.916666667,CNN RNN BACKWARD
,,,,,,,,,0.916666667,0.916666667,0.90625,CNN-LSTM FORGET TRUE
1,0.895287958,0.291516455,0.822916667,0.399142802,,,,,,0.927083333,0.916666667,CNN-LSTM FORGET TRUE BACKWARD
,,,,,,,,,0.9375,0.9375,0.9375,CNN-LSTM FORGET FALSE 
2,0.942408377,0.164754603,0.854166667,0.319589714,,,,,,0.927083333,0.927083333, CNN-LSTM FORGET FALSE BACKWARD
,,,,,,,,,0.947916667,0.9375,0.927083333,CNN GRU
3,0.968586388,0.096981736,0.895833333,0.263373266,,,,,,0.916666667,0.927083333,CNN GRU BACKWARD
,,,,,,,,,0.9375,0.895833333,0.916666667,CNN
4,0.979057589,0.063301218,0.916666667,0.211653575,,,,,0.75,0.75,0.739583333,RNN
,,,,,,,,,0.916666667,0.875,0.802083333,RNN BACKWARD
5,0.989528796,0.034655601,0.916666667,0.173079607,,GRU B,,,0.864583333,0.875,0.875,LSTM
,,,,,,,,,0.958333333,0.916666667,0.947916667,LSTM B
6,0.989528796,0.026264469,0.927083333,0.152670475,,,,,0.90625,0.875,0.864583333,GRU
,,,,,,,,,0.979166667,0.96875,0.947916667,GRU B
7,0.994764398,0.017240526,0.958333333,0.145073016,,,,,,,,
,,,,,,,,,,,,
8,1,0.012273934,0.947916667,0.124832233,,,,,,,,
,,,,,,,,,,,,
9,1,0.009418129,0.947916667,0.145249171,,,,,,,,
0,0.837696333,0.420560616,0.895833333,0.31412226,,,,,,,,
,,,,,,,,,,,,
